id_meci,data_meci,faza_competitie,status,echipa_gazda,echipa_oaspete,goluri_gazda,goluri_oaspete,eficienta_atac,meci_cu_prelungiri,scor_final_detaliat
537327,2026-06-11,GROUP_STAGE,FINISHED,Mexico,South Africa,2,0,2,False,2-0 (90')
537328,2026-06-12,GROUP_STAGE,FINISHED,South Korea,Czechia,2,1,3,False,2-1 (90')
537333,2026-06-12,GROUP_STAGE,FINISHED,Canada,Bosnia-Herzegovina,1,1,2,False,1-1 (90')
537345,2026-06-13,GROUP_STAGE,FINISHED,United States,Paraguay,4,1,5,False,4-1 (90')
537334,2026-06-13,GROUP_STAGE,FINISHED,Qatar,Switzerland,1,1,2,False,1-1 (90')
537339,2026-06-13,GROUP_STAGE,FINISHED,Brazil,Morocco,1,1,2,False,1-1 (90')
537340,2026-06-14,GROUP_STAGE,FINISHED,Haiti,Scotland,0,1,1,False,0-1 (90')
537346,2026-06-14,GROUP_STAGE,FINISHED,Australia,Turkey,2,0,2,False,2-0 (90')
537351,2026-06-14,GROUP_STAGE,FINISHED,Germany,Curaçao,7,1,8,False,7-1 (90')
537357,2026-06-14,GROUP_STAGE,FINISHED,Netherlands,Japan,2,2,4,False,2-2 (90')
537352,2026-06-14,GROUP_STAGE,FINISHED,Ivory Coast,Ecuador,1,0,1,False,1-0 (90')
537358,2026-06-15,GROUP_STAGE,FINISHED,Sweden,Tunisia,5,1,6,False,5-1 (90')
537369,2026-06-15,GROUP_STAGE,FINISHED,Spain,Cape Verde Islands,0,0,0,False,0-0 (90')
537363,2026-06-15,GROUP_STAGE,FINISHED,Belgium,Egypt,1,1,2,False,1-1 (90')
537370,2026-06-15,GROUP_STAGE,FINISHED,Saudi Arabia,Uruguay,1,1,2,False,1-1 (90')
537364,2026-06-16,GROUP_STAGE,FINISHED,Iran,New Zealand,2,2,4,False,2-2 (90')
537391,2026-06-16,GROUP_STAGE,FINISHED,France,Senegal,3,1,4,False,3-1 (90')
537392,2026-06-16,GROUP_STAGE,FINISHED,Iraq,Norway,1,4,5,False,1-4 (90')
537397,2026-06-17,GROUP_STAGE,FINISHED,Argentina,Algeria,3,0,3,False,3-0 (90')
537398,2026-06-17,GROUP_STAGE,FINISHED,Austria,Jordan,3,1,4,False,3-1 (90')
537403,2026-06-17,GROUP_STAGE,FINISHED,Portugal,Congo DR,1,1,2,False,1-1 (90')
537409,2026-06-17,GROUP_STAGE,FINISHED,England,Croatia,4,2,6,False,4-2 (90')
537410,2026-06-17,GROUP_STAGE,FINISHED,Ghana,Panama,1,0,1,False,1-0 (90')
537404,2026-06-18,GROUP_STAGE,FINISHED,Uzbekistan,Colombia,1,3,4,False,1-3 (90')
